Convert Id,Lead ID,Company ID,Customer ID,Deal ID,Lead Creation Date,Converted Time,Converted By Id
zcrm_1920545000000437009,zcrm_1920545000000436001,zcrm_1920545000000437001,zcrm_1920545000000437003,zcrm_1920545000000437005,2016-10-15 00:54:57,2016-10-15 01:57:25,zcrm_1920545000000243011
zcrm_1920545000000439021,zcrm_1920545000000439001,zcrm_1920545000000439009,,,2016-10-17 12:23:10,2016-10-18 15:14:53,zcrm_1920545000000366012
zcrm_1920545000000439035,zcrm_1920545000000431251,zcrm_1920545000000439023,zcrm_1920545000000439025,,2016-10-07 18:08:46,2016-10-18 15:35:04,zcrm_1920545000000366012
zcrm_1920545000000439055,zcrm_1920545000000431199,zcrm_1920545000000439037,zcrm_1920545000000439039,zcrm_1920545000000439041,2016-10-07 17:40:16,2016-10-18 16:04:01,zcrm_1920545000000366012
zcrm_1920545000000439081,zcrm_1920545000000439059,zcrm_1920545000000439063,zcrm_1920545000000439065,zcrm_1920545000000439067,2016-10-18 15:18:01,2016-10-18 16:19:48,zcrm_1920545000000366012
zcrm_1920545000000440053,zcrm_1920545000000440017,zcrm_1920545000000440041,zcrm_1920545000000440043,,2016-10-17 13:33:00,2016-10-18 15:20:02,zcrm_1920545000000366006
zcrm_1920545000000449023,zcrm_1920545000000449001,zcrm_1920545000000449005,zcrm_1920545000000449007,zcrm_1920545000000449009,2016-10-24 12:39:07,2016-10-24 13:39:32,zcrm_1920545000000240001
zcrm_1920545000000449047,zcrm_1920545000000449025,zcrm_1920545000000449029,zcrm_1920545000000449031,zcrm_1920545000000449033,2016-10-24 12:44:28,2016-10-24 13:45:02,zcrm_1920545000000240001
zcrm_1920545000000452023,zcrm_1920545000000452001,zcrm_1920545000000452005,zcrm_1920545000000452007,zcrm_1920545000000452009,2016-10-25 14:03:58,2016-10-25 15:04:29,zcrm_1920545000000240001
zcrm_1920545000000454023,zcrm_1920545000000454001,zcrm_1920545000000454005,zcrm_1920545000000454007,zcrm_1920545000000454009,2016-10-26 17:53:27,2016-10-26 18:53:54,zcrm_1920545000000240001
zcrm_1920545000000454047,zcrm_1920545000000454025,zcrm_1920545000000454029,zcrm_1920545000000454031,zcrm_1920545000000454033,2016-10-26 17:58:11,2016-10-26 18:59:09,zcrm_1920545000000240001
zcrm_1920545000000460023,zcrm_1920545000000460001,zcrm_1920545000000460005,zcrm_1920545000000460007,zcrm_1920545000000460009,2016-11-01 13:34:50,2016-11-01 14:35:27,zcrm_1920545000000240001
zcrm_1920545000000466019,zcrm_1920545000000425033,zcrm_1920545000000466001,zcrm_1920545000000466003,zcrm_1920545000000466005,2016-09-27 12:46:11,2016-11-07 15:51:48,zcrm_1920545000000366006
zcrm_1920545000000469023,zcrm_1920545000000469001,zcrm_1920545000000469005,zcrm_1920545000000469007,zcrm_1920545000000469009,2016-11-08 15:51:12,2016-11-08 15:51:40,zcrm_1920545000000240001
zcrm_1920545000000469047,zcrm_1920545000000469025,zcrm_1920545000000469029,zcrm_1920545000000469031,zcrm_1920545000000469033,2016-11-08 15:55:14,2016-11-08 15:55:46,zcrm_1920545000000240001
zcrm_1920545000000475019,zcrm_1920545000000445001,zcrm_1920545000000475001,zcrm_1920545000000475003,zcrm_1920545000000475005,2016-10-20 12:38:09,2016-11-11 13:24:58,zcrm_1920545000000366006
zcrm_1920545000000475031,zcrm_1920545000000440033,zcrm_1920545000000462005,zcrm_1920545000000475023,,2016-10-17 17:54:44,2016-11-11 13:27:22,zcrm_1920545000000366006
zcrm_1920545000000475041,zcrm_1920545000000440055,zcrm_1920545000000462005,zcrm_1920545000000475033,,2016-10-18 17:24:47,2016-11-11 13:31:43,zcrm_1920545000000366006
zcrm_1920545000000476019,zcrm_1920545000000459045,zcrm_1920545000000476001,zcrm_1920545000000476003,zcrm_1920545000000476005,2016-11-01 17:29:12,2016-11-11 13:39:05,zcrm_1920545000000366006
zcrm_1920545000000476043,zcrm_1920545000000476021,zcrm_1920545000000476025,zcrm_1920545000000476027,zcrm_1920545000000476029,2016-11-11 15:38:40,2016-11-11 15:39:18,zcrm_1920545000000366006
zcrm_1920545000000481023,zcrm_1920545000000481001,zcrm_1920545000000481005,zcrm_1920545000000481007,zcrm_1920545000000481009,2016-11-18 13:23:48,2016-11-18 13:24:16,zcrm_1920545000000240001
zcrm_1920545000000481047,zcrm_1920545000000481025,zcrm_1920545000000481029,zcrm_1920545000000481031,zcrm_1920545000000481033,2016-11-18 13:30:55,2016-11-18 13:31:20,zcrm_1920545000000240001
zcrm_1920545000000481071,zcrm_1920545000000481049,zcrm_1920545000000481053,zcrm_1920545000000481055,zcrm_1920545000000481057,2016-11-18 13:41:02,2016-11-18 13:41:45,zcrm_1920545000000240001
zcrm_1920545000000481095,zcrm_1920545000000481073,zcrm_1920545000000481077,zcrm_1920545000000481079,zcrm_1920545000000481081,2016-11-18 13:54:58,2016-11-18 13:55:26,zcrm_1920545000000240001
zcrm_1920545000000481119,zcrm_1920545000000481097,zcrm_1920545000000481101,zcrm_1920545000000481103,zcrm_1920545000000481105,2016-11-18 13:58:56,2016-11-18 13:59:26,zcrm_1920545000000240001
zcrm_1920545000000481143,zcrm_1920545000000481121,zcrm_1920545000000481125,zcrm_1920545000000481127,zcrm_1920545000000481129,2016-11-18 14:04:33,2016-11-18 14:06:51,zcrm_1920545000000240001
zcrm_1920545000000486023,zcrm_1920545000000440005,zcrm_1920545000000486005,zcrm_1920545000000486007,zcrm_1920545000000486009,2016-10-17 13:07:22,2016-11-22 14:12:39,zcrm_1920545000000366006
zcrm_1920545000000492017,zcrm_1920545000000492001,zcrm_1920545000000492005,zcrm_1920545000000492007,,2016-11-29 20:20:50,2016-11-29 20:21:18,zcrm_1920545000000240001
zcrm_1920545000000492041,zcrm_1920545000000492019,zcrm_1920545000000492023,zcrm_1920545000000492025,,2016-11-29 20:23:41,2016-11-29 20:24:23,zcrm_1920545000000240001
zcrm_1920545000000492065,zcrm_1920545000000492043,zcrm_1920545000000492047,zcrm_1920545000000492049,zcrm_1920545000000492051,2016-11-29 20:28:21,2016-11-29 20:29:13,zcrm_1920545000000240001
zcrm_1920545000000493035,zcrm_1920545000000493013,zcrm_1920545000000493017,zcrm_1920545000000493019,zcrm_1920545000000493021,2016-11-30 18:30:04,2016-11-30 18:30:29,zcrm_1920545000000240001
zcrm_1920545000000493059,zcrm_1920545000000493037,zcrm_1920545000000493041,zcrm_1920545000000493043,zcrm_1920545000000493045,2016-11-30 18:34:05,2016-11-30 18:34:31,zcrm_1920545000000240001
zcrm_1920545000000493083,zcrm_1920545000000493061,zcrm_1920545000000493065,zcrm_1920545000000493067,zcrm_1920545000000493069,2016-11-30 18:38:16,2016-11-30 18:39:04,zcrm_1920545000000240001
zcrm_1920545000000493107,zcrm_1920545000000493085,zcrm_1920545000000493089,zcrm_1920545000000493091,zcrm_1920545000000493093,2016-11-30 18:50:20,2016-11-30 18:50:47,zcrm_1920545000000240001
