Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Bijanbari Gym,Gym,"359R+GW3, Bijanbari, West Bengal 734201, India",https://www.google.co.kr/maps/place/Bijanbari+Gym/data=!4m5!3m4!1s0x39e42b61f721a277:0x2c264a1e6b135f2a!8m2!3d27.0687512!4d88.1923068?authuser=0&hl=en&rclk=1,27.0687512,88.1923068,Sikkim
Hymalayan Fitness and Gym,Gym,"Rinkinpong Rd, Kalimpong Khasmahal, Kalimpong, West Bengal 734301, India",https://www.google.co.kr/maps/place/Hymalayan+Fitness+and+Gym/data=!4m5!3m4!1s0x39e423316ffc8d0b:0xfc34eff5788ef885!8m2!3d27.056516!4d88.465178?authuser=0&hl=en&rclk=1,27.056516,88.465178,Sikkim
Curls and Crunches Fitness Gym,Gym,"Lebong Cart Rd, near Tenzing Rock, Singamari, Darjeeling, West Bengal 734104, India",https://www.google.co.kr/maps/place/Curls+and+Crunches+Fitness+Gym/data=!4m5!3m4!1s0x39e42f7d69b7b8db:0x745482bc3078c151!8m2!3d27.0592755!4d88.2555295?authuser=0&hl=en&rclk=1,27.0592755,88.2555295,Sikkim
Yoga for healthy lifestyle,Yoga studio,"Patuk makha, Gangtok, Sikkim 737138, India",https://www.google.co.kr/maps/place/Yoga+for+healthy+lifestyle/data=!4m5!3m4!1s0x39e6a3de5fbafd65:0x338fe241a2674911!8m2!3d27.317394!4d88.47963?authuser=0&hl=en&rclk=1,27.317394,88.47963,Sikkim
TENZIN'S GYM,Fitness center,"Laden la Rd, Limbugaon, Darjeeling, West Bengal 734101, India",https://www.google.co.kr/maps/place/TENZIN'S+GYM/data=!4m5!3m4!1s0x39e42eeb53025d1d:0x523e444c62189daf!8m2!3d27.0404737!4d88.2656454?authuser=0&hl=en&rclk=1,27.0404737,88.2656454,Sikkim
Pro Active Fitness Studio,Fitness center,"3F88+2R6, Mongbol Busty, Kalimpong, West Bengal 734301, India",https://www.google.co.kr/maps/place/Pro+Active+Fitness+Studio/data=!4m5!3m4!1s0x39e423da3a52e1e3:0x6fac96162c33c204!8m2!3d27.0650374!4d88.4670267?authuser=0&hl=en&rclk=1,27.0650374,88.4670267,Sikkim
SahiL limvo,Gym,"Khyoungtay Road, Yuksom, Sikkim 737113, India",https://www.google.co.kr/maps/place/SahiL+limvo/data=!4m5!3m4!1s0x39e6894d8408b6c5:0x58c140cd50f4bd04!8m2!3d27.373503!4d88.225099?authuser=0&hl=en&rclk=1,27.373503,88.225099,Sikkim
CFS STUDIO,Physical fitness program,"5, Laden la Rd, Chauk Bazaar, Darjeeling, West Bengal 734101, India",https://www.google.co.kr/maps/place/CFS+STUDIO/data=!4m5!3m4!1s0x39e42f6a2be193cd:0x3274f2065ba6d39c!8m2!3d27.0415504!4d88.2651717?authuser=0&hl=en&rclk=1,27.0415504,88.2651717,Sikkim
Zumba fitness and pilates studio,Fitness center,"Gymkhana club, Chauk Bazaar, Darjeeling, West Bengal 734101, India",https://www.google.co.kr/maps/place/Zumba+fitness+and+pilates+studio/data=!4m5!3m4!1s0x39e42f54176ea785:0xed5947923009222f!8m2!3d27.0482437!4d88.2664575?authuser=0&hl=en&rclk=1,27.0482437,88.2664575,Sikkim
Advas Fitness And Gym,Gym,"27R8+75X, Chauk Bazaar, Darjeeling, West Bengal 734101, India",https://www.google.co.kr/maps/place/Advas+Fitness+And+Gym/data=!4m5!3m4!1s0x39e42e94b56c65a7:0x67704f6c8574689a!8m2!3d27.0407448!4d88.2654865?authuser=0&hl=en&rclk=1,27.0407448,88.2654865,Sikkim
Sumo's Gym,Gymnasium Cz,"Bhutia Busty Rd, Agam Gram, Namchi, Sikkim 737126, India",https://www.google.co.kr/maps/place/Sumo's+Gym/data=!4m5!3m4!1s0x39e69d7fdd2bb2d3:0x78a16417408ec54c!8m2!3d27.1647322!4d88.3614291?authuser=0&hl=en&rclk=1,27.1647322,88.3614291,Sikkim
Uprety Yoga Centre,Yoga studio,"10th Mile, near Seva Sadan Hospital, Kalimpong, West Bengal 734301, India",https://www.google.co.kr/maps/place/Uprety+Yoga+Centre/data=!4m5!3m4!1s0x39e421abcb312e59:0x5c1a77c5685f706a!8m2!3d27.0733801!4d88.4767156?authuser=0&hl=en&rclk=1,27.0733801,88.4767156,Sikkim
Bannock Burn T E Football Ground,Gym,"Bannock Burn T E, Lebong, Darjeeling, West Bengal 734105, India",https://www.google.co.kr/maps/place/Bannock+Burn+T+E+Football+Ground/data=!4m5!3m4!1s0x39e42ed5e343a23d:0xab67b52be4243a7!8m2!3d27.059146!4d88.2848009?authuser=0&hl=en&rclk=1,27.059146,88.2848009,Sikkim
CFS Studio (Gym),Gymnasium Cz,"5th, Laden la Rd, Chauk Bazaar, Darjeeling, West Bengal 734101, India",https://www.google.co.kr/maps/place/CFS+Studio+(Gym)/data=!4m5!3m4!1s0x39e42f239768bdd9:0x3302b2c3cff6dabf!8m2!3d27.0400265!4d88.2638993?authuser=0&hl=en&rclk=1,27.0400265,88.2638993,Sikkim
Nim dorjee house,Gym,"Maney dara Maney dara, Rimbick, West Bengal 734201, India",https://www.google.co.kr/maps/place/Nim+dorjee+house/data=!4m5!3m4!1s0x39e5d51776dbc973:0xea0787699c490486!8m2!3d27.1170033!4d88.105465?authuser=0&hl=en&rclk=1,27.1170033,88.105465,Sikkim
